uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(training_oov)	f1(testing_oov)
bfbf00e6-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.01	7.89	7.79	21.86	19.95
bfbbeaf0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.01	10.61	11.69	30.62	30.73
bfbdb8f8-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	0.01	22.46	22.57	35.27	33.83
bfbd5b88-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	1.0	79.78	80.76	84.62	85.03
bfbe0a88-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.001	0.11	0.12	19.24	17.19
bfbcda50-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	1.0	82.27	82.66	86.68	86.48
bfbd0d5e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	0.01	35.98	35.39	46.39	44.38
bfbcaf6c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	1.0	81.37	82.29	85.54	86.13
bfbc3bc2-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	1.0	79.89	81.14	85.5	86.06
bfbcf076-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.01	17.28	16.92	29.81	28.03
bfbca134-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	1.0	76.42	77.98	81.66	82.6
bfbf0b54-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	0.001	0.47	0.63	18.48	16.77
bfbb68c8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	1.0	74.68	76.07	80.8	81.87
bfbefd30-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.001	0.49	0.58	17.26	15.67
bfbb1300-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	0.01	59.74	63.94	67.41	70.08
bfbd4d6e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	1.0	74.06	75.81	79.76	80.86
bfbd986e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	0.001	0.99	0.77	12.41	11.07
bfbc8bae-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.01	62.39	65.39	70.69	72.48
bfbc961c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	0.001	1.71	1.44	15.29	13.91
bfbdc712-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	0.01	1.65	1.03	20.23	17.65
bfbcfb3e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.001	2.46	1.61	16.89	14.74
bfbbb5d0-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	1.0	79.96	80.2	85.66	85.49
bfbbd7e0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.001	12.13	10.53	29.11	26.67
bfbb9e10-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.01	57.74	61.65	65.96	68.73
bfbcbd90-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	1.0	84.49	84.4	88.3	87.86
bfbc04cc-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	0.001	14.39	13.69	32.29	30.65
bfbd0980-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	0.001	7.48	7.49	19.44	18.09
bfbd2d8e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	0.10000000000000001	71.51	73.73	77.53	78.76
