uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)
bfbd3842-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.01	55.91	59.36
bfbce932-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	1.0	85.51	84.35
bfbca4a4-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.001	0.09	0.0
bfbd8dba-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.01	50.17	53.78
bfbbe33e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	1.0	79.67	80.47
bfbe5d30-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	1.0	41.24	39.07
bfbc87f8-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.001	9.67	9.58
bfbb4636-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.10000000000000001	70.72	73.08
bfbc7d30-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.01	56.05	58.98
bfbc2ccc-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	1.0	75.86	77.39
bfbef632-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	0.10000000000000001	17.39	16.24
bfbbd42a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	1.0	76.84	77.55
bfbb49e2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	1.0	79.72	80.62
bfbd34d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.001	0.65	0.65
bfbb64fe-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.10000000000000001	66.78	69.93
bfbea772-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	0.001	1.77	1.91
bfbd6d1c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.001	5.24	5.04
bfbd8a40-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.001	1.9	2.26
bfbc0c1a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	0.10000000000000001	70.45	72.24
bfbecb6c-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	0.10000000000000001	7.41	5.55
bfbeb208-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	1.0	79.55	79.12
bfbe87c4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	1.0	79.41	78.87
bfbda6f6-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.001	0.55	0.28
bfbc3f5a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.001	7.79	7.65
bfbedd1e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	1.0	53.72	52.38
bfbb516c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.01	61.17	64.94
bfbe6b54-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	1.0	45.77	42.75
bfbcf774-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	1.0	45.79	44.2
bfbc0fd0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	1.0	80.23	81.27
bfbd7eb0-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.01	27.72	29.31
bfbdf8ae-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	1.0	74.11	75.46
bfbe994e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	0.001	1.81	1.63
bfbe188e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.001	5.15	4.84
bfbc37da-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	0.10000000000000001	69.75	71.6
bfbe31ca-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	1.0	54.8	51.85
bfbdeab2-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	1.0	85.83	83.41
bfbe2004-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.10000000000000001	34.35	33.85
bfbbf9be-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.01	51.78	55.7
bfbb8b00-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.001	4.07	3.42
bfbb9a3c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.001	20.06	18.43
bfbf1608-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	1.0	44.11	41.66
bfbe5934-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	0.10000000000000001	30.06	30.74
bfbf0f14-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	0.01	12.9	12.35
bfbdb1d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	1.0	50.09	49.23
